id,quantity,size,sugar_level,ice_level,toppings,item_price,order_id,menu_item_id
175512,1,Regular,75%,Extra Ice,"[]",6.00,88123,2
175513,1,Regular,75%,Less Ice,"[""Popping Boba"",""Boba""]",6.75,88124,4
175514,1,Small,50%,Less Ice,"[""Red Bean""]",5.75,88124,17
175515,1,Small,25%,Regular,"[""Aloe Vera"",""Boba""]",6.50,88125,2
175516,1,Large,100%,Less Ice,"[""Lychee Jelly"",""Aloe Vera""]",8.00,88125,3
175517,1,Regular,50%,No Ice,"[]",6.50,88126,21
175518,1,Regular,100%,Extra Ice,"[]",5.50,88127,23
175519,1,Large,100%,No Ice,"[""Aloe Vera""]",6.50,88127,6
175520,1,Large,100%,Regular,"[""Boba""]",7.50,88128,9
175521,1,Small,25%,Regular,"[""Lychee Jelly""]",5.75,88129,17
175522,1,Regular,75%,Regular,"[""Lychee Jelly""]",7.00,88130,9
175523,1,Small,75%,No Ice,"[""Aloe Vera"",""Lychee Jelly""]",6.50,88130,2
175524,1,Large,100%,No Ice,"[]",7.00,88131,18
175525,1,Large,0%,No Ice,"[]",7.50,88131,11
175526,1,Large,100%,No Ice,"[""Lychee Jelly"",""Red Bean""]",7.00,88131,5
175527,1,Small,75%,Regular,"[]",5.00,88132,16
175528,1,Regular,0%,Extra Ice,"[""Boba""]",7.00,88133,10
175529,1,Large,25%,Less Ice,"[]",6.25,88133,17
175530,1,Small,0%,Less Ice,"[""Boba"",""Aloe Vera""]",6.00,88133,23
175531,1,Regular,25%,No Ice,"[]",5.50,88134,5
175532,1,Large,0%,Less Ice,"[""Boba"",""Grass Jelly""]",7.00,88134,6
175533,1,Small,75%,Less Ice,"[]",5.25,88135,4
175534,1,Large,75%,Regular,"[""Red Bean"",""Grass Jelly""]",8.00,88136,21
175535,1,Regular,50%,No Ice,"[""Popping Boba"",""Lychee Jelly""]",6.50,88137,6
175536,1,Regular,0%,Less Ice,"[""Aloe Vera""]",6.00,88137,15
175537,1,Small,0%,Less Ice,"[]",5.25,88137,8
175538,1,Regular,50%,Extra Ice,"[""Grass Jelly"",""Red Bean""]",6.75,88138,8
175539,1,Large,100%,Less Ice,"[]",4.50,88138,14
175540,1,Large,25%,Regular,"[""Aloe Vera""]",6.50,88138,16
175541,1,Small,25%,Extra Ice,"[""Lychee Jelly"",""Grass Jelly""]",6.00,88139,1
175542,1,Large,100%,Extra Ice,"[""Red Bean"",""Grass Jelly""]",8.00,88139,20
175543,1,Regular,100%,Less Ice,"[""Popping Boba"",""Boba""]",5.50,88140,24
175544,1,Regular,100%,No Ice,"[""Popping Boba""]",7.00,88141,10
175545,1,Large,25%,No Ice,"[""Aloe Vera"",""Popping Boba""]",5.00,88141,13
175546,1,Large,0%,Extra Ice,"[""Red Bean"",""Lychee Jelly""]",7.00,88142,23
175547,1,Large,50%,Less Ice,"[""Red Bean""]",7.50,88143,21
175548,1,Regular,0%,No Ice,"[""Popping Boba""]",7.25,88144,19
175549,1,Regular,50%,No Ice,"[]",6.50,88144,20
175550,1,Small,75%,Regular,"[""Lychee Jelly"",""Red Bean""]",6.00,88144,1
175551,1,Large,25%,No Ice,"[]",7.00,88145,9
175552,1,Large,0%,Less Ice,"[""Aloe Vera""]",5.50,88145,24
175553,1,Regular,100%,Less Ice,"[]",6.50,88145,20
175554,1,Regular,100%,Less Ice,"[]",6.50,88146,9
175555,1,Small,75%,Less Ice,"[""Boba""]",5.50,88146,15
175556,1,Small,0%,Less Ice,"[]",4.00,88147,24
175557,1,Large,75%,Regular,"[]",7.00,88148,9
175558,1,Regular,75%,No Ice,"[]",5.50,88148,23
175559,1,Regular,50%,Regular,"[""Popping Boba"",""Grass Jelly""]",6.50,88148,16
175560,1,Large,25%,No Ice,"[""Grass Jelly"",""Lychee Jelly""]",8.00,88149,9
175561,1,Small,75%,Less Ice,"[""Red Bean""]",6.50,88149,10
175562,1,Large,100%,Extra Ice,"[""Boba"",""Red Bean""]",6.00,88149,24
175563,1,Regular,50%,No Ice,"[""Popping Boba"",""Grass Jelly""]",7.50,88150,9
175564,1,Small,100%,Extra Ice,"[""Boba"",""Red Bean""]",7.00,88150,10
175565,1,Regular,75%,Extra Ice,"[]",5.75,88150,4
175566,1,Small,50%,Less Ice,"[""Boba"",""Red Bean""]",6.25,88151,8
175567,1,Regular,50%,No Ice,"[""Aloe Vera""]",7.00,88151,3
175568,1,Regular,25%,Less Ice,"[""Lychee Jelly""]",6.00,88152,5
175569,1,Small,0%,Regular,"[]",3.50,88152,14
175570,1,Large,100%,Less Ice,"[""Aloe Vera""]",7.50,88153,21
175571,1,Regular,0%,Less Ice,"[""Boba"",""Red Bean""]",5.00,88153,14
175572,1,Regular,0%,No Ice,"[]",5.75,88154,8
175573,1,Large,75%,No Ice,"[]",6.25,88154,8
175574,1,Large,0%,No Ice,"[""Aloe Vera""]",5.50,88155,12
175575,1,Regular,75%,No Ice,"[]",5.50,88156,6
175576,1,Large,25%,Extra Ice,"[""Lychee Jelly""]",4.50,88156,13
175577,1,Small,50%,No Ice,"[""Lychee Jelly"",""Grass Jelly""]",7.00,88156,21
175578,1,Large,50%,Extra Ice,"[""Popping Boba""]",7.75,88157,19
175579,1,Small,25%,Regular,"[""Aloe Vera""]",5.75,88157,7
175580,1,Regular,75%,No Ice,"[""Aloe Vera""]",4.00,88157,13
175581,1,Regular,100%,Extra Ice,"[]",5.75,88158,4
175582,1,Regular,0%,No Ice,"[]",5.75,88158,8
175583,1,Small,50%,Extra Ice,"[""Aloe Vera""]",5.50,88158,5
175584,1,Small,0%,Less Ice,"[""Boba"",""Aloe Vera""]",6.00,88159,6
175585,1,Regular,50%,Less Ice,"[""Aloe Vera"",""Popping Boba""]",6.50,88159,6
175586,1,Regular,100%,Less Ice,"[]",5.50,88159,5
175587,1,Large,75%,No Ice,"[""Aloe Vera"",""Boba""]",5.50,88160,14
175588,1,Large,25%,Less Ice,"[""Popping Boba""]",5.00,88160,14
175589,1,Regular,0%,Extra Ice,"[""Grass Jelly"",""Lychee Jelly""]",6.75,88160,4
175590,1,Small,75%,Regular,"[""Grass Jelly""]",6.50,88161,3
175591,1,Large,100%,Regular,"[]",6.25,88162,17
175592,1,Small,0%,No Ice,"[""Boba""]",4.50,88163,24
175593,1,Small,75%,Extra Ice,"[""Red Bean"",""Boba""]",6.00,88163,15
175594,1,Large,75%,Less Ice,"[""Aloe Vera""]",6.50,88164,23
175595,1,Large,75%,Extra Ice,"[]",6.00,88164,6
175596,1,Small,75%,No Ice,"[]",5.00,88164,6
175597,1,Small,100%,No Ice,"[""Grass Jelly"",""Lychee Jelly""]",6.50,88165,2
175598,1,Small,100%,Extra Ice,"[""Lychee Jelly"",""Grass Jelly""]",7.00,88165,10
175599,1,Regular,25%,Less Ice,"[""Boba""]",6.00,88165,6
175600,1,Large,100%,No Ice,"[]",6.00,88166,5
175601,1,Regular,100%,Less Ice,"[]",4.50,88166,24
175602,1,Small,25%,No Ice,"[""Red Bean"",""Grass Jelly""]",7.00,88166,22
175603,1,Large,25%,Less Ice,"[""Lychee Jelly""]",7.50,88167,22
175604,1,Regular,100%,Extra Ice,"[""Lychee Jelly"",""Red Bean""]",7.50,88167,18
175605,1,Regular,25%,Less Ice,"[""Aloe Vera"",""Red Bean""]",7.50,88167,9
175606,1,Regular,0%,Regular,"[""Popping Boba""]",6.00,88168,15
175607,1,Regular,0%,Less Ice,"[""Aloe Vera"",""Red Bean""]",7.75,88168,19
175608,1,Small,75%,No Ice,"[""Lychee Jelly""]",5.50,88169,5
175609,1,Regular,25%,Extra Ice,"[""Lychee Jelly"",""Boba""]",6.50,88169,6
175610,1,Small,100%,Regular,"[]",5.50,88170,2
175611,1,Large,25%,Less Ice,"[""Grass Jelly"",""Red Bean""]",8.25,88171,19
175612,1,Small,75%,Less Ice,"[""Aloe Vera"",""Grass Jelly""]",7.00,88172,10
175613,1,Large,50%,Regular,"[""Aloe Vera""]",6.50,88172,6
175614,1,Small,0%,Less Ice,"[""Boba""]",5.75,88172,7
175615,1,Small,75%,No Ice,"[""Lychee Jelly"",""Red Bean""]",7.25,88173,19
175616,1,Large,0%,Regular,"[""Aloe Vera""]",5.50,88173,24
175617,1,Large,25%,No Ice,"[]",7.00,88173,20
175618,1,Large,100%,Regular,"[""Red Bean"",""Popping Boba""]",7.00,88174,16
175619,1,Large,75%,No Ice,"[""Boba""]",7.50,88174,9
175620,1,Small,100%,No Ice,"[""Popping Boba""]",5.50,88174,1
175621,1,Large,75%,No Ice,"[""Red Bean""]",7.50,88175,21
175622,1,Regular,100%,Regular,"[]",6.50,88176,18
175623,1,Regular,0%,No Ice,"[""Lychee Jelly"",""Aloe Vera""]",6.75,88176,17
175624,1,Large,25%,Regular,"[""Grass Jelly"",""Popping Boba""]",8.00,88177,20
175625,1,Small,100%,Extra Ice,"[""Boba""]",5.50,88177,16
175626,1,Small,0%,Extra Ice,"[""Lychee Jelly""]",6.50,88177,21
175627,1,Small,50%,Less Ice,"[""Lychee Jelly"",""Red Bean""]",7.00,88178,10
175628,1,Small,50%,No Ice,"[""Lychee Jelly"",""Popping Boba""]",6.00,88178,16
175629,1,Regular,25%,Less Ice,"[""Lychee Jelly""]",6.25,88178,8
175630,1,Small,50%,Less Ice,"[""Popping Boba""]",6.50,88179,9
175631,1,Regular,0%,Regular,"[]",6.50,88179,21
175632,1,Regular,75%,Less Ice,"[""Popping Boba""]",6.00,88180,1
175633,1,Large,75%,Extra Ice,"[""Red Bean"",""Lychee Jelly""]",8.00,88180,20
175634,1,Large,0%,Regular,"[]",7.00,88181,21
175635,1,Small,50%,No Ice,"[]",5.00,88181,16
175636,1,Large,25%,Extra Ice,"[]",7.00,88181,9
175637,1,Regular,100%,Less Ice,"[""Aloe Vera"",""Boba""]",6.50,88182,6
175638,1,Large,100%,Less Ice,"[""Grass Jelly""]",7.50,88182,22
175639,1,Small,75%,No Ice,"[]",6.25,88183,19
175640,1,Small,0%,No Ice,"[]",3.00,88184,13
175641,1,Regular,50%,Regular,"[]",5.50,88184,15
175642,1,Small,75%,No Ice,"[]",5.25,88185,7
175643,1,Large,50%,Less Ice,"[""Lychee Jelly"",""Boba""]",7.25,88185,4
175644,1,Small,50%,Regular,"[]",5.00,88186,15
175645,1,Small,75%,Extra Ice,"[""Boba""]",6.50,88186,9
175646,1,Small,0%,Less Ice,"[]",6.00,88187,18
175647,1,Regular,50%,No Ice,"[""Red Bean""]",7.00,88188,3
175648,1,Regular,0%,Extra Ice,"[""Popping Boba""]",6.50,88188,2
